id,commits,exceptionsCount,gitUrl,javaLoc,numberOfProductionFiles,numberOfTestFiles,productionLoc,testLoc,refactoring,Refactorings_Count
44,2803,36,https://github.com/google/dagger,82121,544,536,37338,44783,Pull Up Attribute,78
44,2803,36,https://github.com/google/dagger,82121,544,536,37338,44783,Pull Up Method,105
44,2803,36,https://github.com/google/dagger,82121,544,536,37338,44783,Push Down Attribute,55
44,2803,36,https://github.com/google/dagger,82121,544,536,37338,44783,Push Down Method,109
44,2803,36,https://github.com/google/dagger,82121,544,536,37338,44783,Rename Attribute,226
44,2803,36,https://github.com/google/dagger,82121,544,536,37338,44783,Rename Class,167
44,2803,36,https://github.com/google/dagger,82121,544,536,37338,44783,Rename Method,568
44,2803,36,https://github.com/google/dagger,82121,544,536,37338,44783,Rename Parameter,629
44,2803,36,https://github.com/google/dagger,82121,544,536,37338,44783,Rename Variable,534
44,2803,36,https://github.com/google/dagger,82121,544,536,37338,44783,Replace Attribute,1
44,2803,36,https://github.com/google/dagger,82121,544,536,37338,44783,Replace Variable With Attribute,11
44,2803,36,https://github.com/google/dagger,82121,544,536,37338,44783,Split Parameter,3
44,2803,36,https://github.com/google/dagger,82121,544,536,37338,44783,Split Variable,2
46,7864,7,https://github.com/google/ExoPlayer,158751,716,265,114377,44374,Change Attribute Type,1209
46,7864,7,https://github.com/google/ExoPlayer,158751,716,265,114377,44374,Change Package,428
46,7864,7,https://github.com/google/ExoPlayer,158751,716,265,114377,44374,Change Parameter Type,1971
46,7864,7,https://github.com/google/ExoPlayer,158751,716,265,114377,44374,Change Return Type,970
46,7864,7,https://github.com/google/ExoPlayer,158751,716,265,114377,44374,Change Variable Type,1223
46,7864,7,https://github.com/google/ExoPlayer,158751,716,265,114377,44374,Extract And Move Method,345
46,7864,7,https://github.com/google/ExoPlayer,158751,716,265,114377,44374,Extract Attribute,43
46,7864,7,https://github.com/google/ExoPlayer,158751,716,265,114377,44374,Extract Class,135
46,7864,7,https://github.com/google/ExoPlayer,158751,716,265,114377,44374,Extract Interface,62
46,7864,7,https://github.com/google/ExoPlayer,158751,716,265,114377,44374,Extract Method,1158
46,7864,7,https://github.com/google/ExoPlayer,158751,716,265,114377,44374,Extract Subclass,18
46,7864,7,https://github.com/google/ExoPlayer,158751,716,265,114377,44374,Extract Superclass,85
46,7864,7,https://github.com/google/ExoPlayer,158751,716,265,114377,44374,Extract Variable,471
